City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,lebu,-37.6167,-73.65,13.51,92,96,5.16,CL,1713244009
118,aasiaat,68.7098,-52.8699,-19.36,98,36,3.96,GL,1713244010
119,susuman,62.7833,148.1667,-10.01,65,95,1.34,RU,1713244010
120,harper,4.375,-7.7169,27.73,86,90,4.25,LR,1713244011
121,zheleznodorozhnyy,55.7503,38.0042,6.87,75,93,2.24,RU,1713244011
122,berezovyy,51.6667,135.7,9.35,78,100,0.72,RU,1713244011
123,harlingen,26.1906,-97.6961,24.95,95,100,7.93,US,1713244012
124,vilyuchinsk,52.9306,158.4028,4.15,97,100,2.16,RU,1713244012
125,pampa del indio,-26.0647,-59.919,16.67,99,100,2.11,AR,1713244013
126,sandnessjoen,66.0217,12.6316,0.23,55,20,3.09,NO,1713244013
127,argo,37.6333,22.7333,20.26,44,100,0.65,GR,1713244014
128,thompson,55.7435,-97.8558,1.02,90,82,2.63,CA,1713244014
129,margate,51.3813,1.3862,8.28,76,78,7.15,GB,1713244015
130,whitehorse,60.7161,-135.0538,2.43,35,0,3.09,CA,1713244015
131,laguna,38.421,-121.4238,15.24,78,0,2.06,US,1713244016
132,muisne,0.6,-80.0333,24.86,91,74,1.74,EC,1713244016
133,gulf shores,30.246,-87.7008,21.71,78,0,4.12,US,1713244016
134,puerto deseado,-47.7503,-65.8938,13.78,93,100,9.2,AR,1713244017
135,luanda,-8.8368,13.2343,25.28,91,85,3.33,AO,1713243985
136,polyarnyy,69.1989,33.4478,-3.22,68,98,9.33,RU,1713244018
137,bahawalnagar,30.5508,73.3908,29.05,36,0,4.29,PK,1713244018
138,hancheng,32.5186,112.3522,25.16,62,100,6.23,CN,1713244019
139,codrington,-38.2667,141.9667,14.3,78,100,3.45,AU,1713244019
140,ulsteinvik,62.3432,5.8487,4.31,81,92,0.89,NO,1713244019
141,paita,-5.0892,-81.1144,22.46,74,79,5.52,PE,1713244019
142,pacocha,-17.5833,-71.3333,20.81,84,67,4.1,PE,1713244020
143,sibay,52.7181,58.6658,10.12,41,100,4.02,RU,1713244020
144,veydelevka,50.1521,38.4492,9.2,88,100,1.49,RU,1713244021
145,olonkinbyen,70.9221,-8.7187,-1.6,72,49,6.02,SJ,1713244021
146,langsa,4.4683,97.9683,34.84,48,65,2.06,ID,1713244022
147,kirakira,-10.4544,161.9205,29.06,78,48,5.28,SB,1713244022
148,san antonio de pale,-1.4014,5.6325,27.5,82,100,4.62,GQ,1713244023
149,aioun,16.6614,-9.6149,22.76,21,0,5.01,MR,1713244023
150,santana,-0.0583,-51.1817,24.48,97,99,1.37,BR,1713244023
151,georgetown,5.4112,100.3354,32.75,89,40,2.57,MY,1713243777
